feature_id	TCGA-AB-2805	TCGA-AB-2806	TCGA-AB-2808	TCGA-AB-2810	TCGA-AB-2811	TCGA-AB-2812	TCGA-AB-2813	TCGA-AB-2814	TCGA-AB-2815	TCGA-AB-2817	TCGA-AB-2818	TCGA-AB-2819	TCGA-AB-2820	TCGA-AB-2821	TCGA-AB-2822	TCGA-AB-2823	TCGA-AB-2825	TCGA-AB-2826	TCGA-AB-2828	TCGA-AB-2830	TCGA-AB-2834	TCGA-AB-2835	TCGA-AB-2836	TCGA-AB-2839	TCGA-AB-2840	TCGA-AB-2841	TCGA-AB-2842	TCGA-AB-2843	TCGA-AB-2844	TCGA-AB-2845	TCGA-AB-2846	TCGA-AB-2847	TCGA-AB-2849	TCGA-AB-2851	TCGA-AB-2853	TCGA-AB-2856	TCGA-AB-2857	TCGA-AB-2858	TCGA-AB-2859	TCGA-AB-2861	TCGA-AB-2862	TCGA-AB-2863	TCGA-AB-2865	TCGA-AB-2866	TCGA-AB-2867	TCGA-AB-2869	TCGA-AB-2870	TCGA-AB-2871	TCGA-AB-2872	TCGA-AB-2873	TCGA-AB-2874	TCGA-AB-2875	TCGA-AB-2876	TCGA-AB-2877	TCGA-AB-2878	TCGA-AB-2880	TCGA-AB-2881	TCGA-AB-2882	TCGA-AB-2883	TCGA-AB-2884	TCGA-AB-2885	TCGA-AB-2886	TCGA-AB-2888	TCGA-AB-2889	TCGA-AB-2890	TCGA-AB-2891	TCGA-AB-2892	TCGA-AB-2893	TCGA-AB-2894	TCGA-AB-2895	TCGA-AB-2896	TCGA-AB-2897	TCGA-AB-2898	TCGA-AB-2899	TCGA-AB-2900	TCGA-AB-2901	TCGA-AB-2908	TCGA-AB-2909	TCGA-AB-2910	TCGA-AB-2911	TCGA-AB-2912	TCGA-AB-2913	TCGA-AB-2914	TCGA-AB-2915	TCGA-AB-2916	TCGA-AB-2917	TCGA-AB-2918	TCGA-AB-2919	TCGA-AB-2920	TCGA-AB-2921	TCGA-AB-2924	TCGA-AB-2925	TCGA-AB-2927	TCGA-AB-2928	TCGA-AB-2929	TCGA-AB-2930	TCGA-AB-2931	TCGA-AB-2932	TCGA-AB-2933	TCGA-AB-2934	TCGA-AB-2935	TCGA-AB-2936	TCGA-AB-2937	TCGA-AB-2938	TCGA-AB-2939	TCGA-AB-2940	TCGA-AB-2941	TCGA-AB-2942	TCGA-AB-2943	TCGA-AB-2944	TCGA-AB-2946	TCGA-AB-2948	TCGA-AB-2949	TCGA-AB-2950	TCGA-AB-2952	TCGA-AB-2955	TCGA-AB-2956	TCGA-AB-2959	TCGA-AB-2963	TCGA-AB-2965	TCGA-AB-2966	TCGA-AB-2970	TCGA-AB-2971	TCGA-AB-2973	TCGA-AB-2975	TCGA-AB-2976	TCGA-AB-2977	TCGA-AB-2979	TCGA-AB-2980	TCGA-AB-2981	TCGA-AB-2983	TCGA-AB-2984	TCGA-AB-2986	TCGA-AB-2987	TCGA-AB-2988	TCGA-AB-2990	TCGA-AB-2991	TCGA-AB-2992	TCGA-AB-2994	TCGA-AB-2995	TCGA-AB-2996	TCGA-AB-2998	TCGA-AB-2999	TCGA-AB-3000	TCGA-AB-3001	TCGA-AB-3002	TCGA-AB-3007	TCGA-AB-3008	TCGA-AB-3009	TCGA-AB-3011	TCGA-AB-3012
expr::ACTB	3961.048200	1967.485300	3806.463000	2738.214900	2663.635300	1370.502800	4536.788400	1930.498800	4189.536700	2347.388700	3919.744900	3179.647700	2143.719900	2932.929100	1606.387000	5302.512600	6520.952000	3932.863500	4794.294800	2919.099100	4575.286800	7014.264100	5181.770100	1590.694500	2220.675700	3979.419100	3114.695800	3697.534300	2980.516600	3579.154800	4089.871600	3230.272800	1054.300100	5443.928200	1803.216600	6164.496900	2253.622800	2448.230700	3111.426900	3438.259800	2371.541400	2515.530900	6152.508600	5490.203900	3275.432800	2153.021200	5412.215200	1799.002000	1484.567400	5800.661100	2007.279400	4176.313300	2439.500100	1525.833700	1785.192700	4836.492400	3765.250200	2443.193700	1320.950100	4768.141300	2521.855900	2908.775400	5958.091400	3537.379700	3514.395900	3880.743100	3251.320100	6082.530100	2055.452100	1914.014600	2738.431900	1996.644100	3297.842500	4053.648700	4258.676000	3641.940500	1964.920400	3178.784100	4746.125700	2336.268200	2405.992100	776.719200	2364.829500	5077.044700	4155.945100	1302.337900	3172.591200	1599.094400	2342.282800	3324.128900	3698.214500	4052.605800	2985.320700	2532.459600	3914.230500	3185.983300	3407.015500	6041.787000	3618.670900	3006.468900	2760.239000	2020.948900	3214.665300	4307.345900	3463.303700	3295.515600	1942.781700	3385.133500	2147.644700	1384.400500	3017.788500	5303.721700	2157.068800	2833.953700	3544.651600	1934.475800	5952.573600	1642.647400	2381.853200	2908.843400	1547.560200	2735.201500	2450.542000	3130.406300	1503.844100	1168.671800	3517.721200	4677.351400	1809.618800	7329.064800	2506.237800	1989.957800	1715.659000	7289.918500	2182.828600	1429.520400	3587.539900	3542.995600	6364.769200	2505.090600	2844.391900	5349.712900	1553.894400	3741.581000	3097.599200	3157.574400	2252.905900	4085.485700	3727.817200	2012.538300	2422.507600
expr::GAPDH	2119.760500	2055.490900	1229.734100	2966.795800	4434.770200	1213.077200	2287.932200	1897.213300	1648.170400	3000.474400	1938.718300	1989.756100	954.084800	2131.941300	1021.276300	3235.670800	2790.894800	1614.919900	2222.328900	2402.830600	2475.533500	4002.573400	2023.301500	1752.781000	1553.554400	3564.015400	2309.362300	2119.696200	2601.367400	2290.088000	2909.105700	2935.662900	807.184600	2314.968500	1981.490600	4661.930500	1763.942000	2370.715700	3052.939900	2024.630200	2979.781600	1928.815000	2290.707700	3269.745700	1656.035400	2149.977500	2828.292000	2429.204500	1707.247900	2114.057500	3250.288000	3029.831800	1694.039700	1566.527700	753.555200	2079.208800	2888.725600	2011.245400	896.411400	2542.031600	2748.908900	2054.761700	1887.370800	2996.681900	1471.944600	1981.420700	2018.215800	2732.292800	1377.936500	1816.155800	2483.255200	3335.680200	2298.170200	1902.137300	3181.036800	2171.684400	1584.815200	3530.735000	3569.178400	890.707500	1593.215000	1173.261600	1954.913300	2675.780400	1145.897000	952.513200	2877.766700	2114.973700	3392.510100	2632.401000	3148.967500	3819.308800	1830.817900	3559.366600	950.276900	2795.824600	2466.274800	3813.238000	1445.558600	1755.490800	1655.717000	1435.586600	2464.662800	1532.061700	2792.099600	1755.989100	1192.905800	1858.785000	964.083300	1901.629200	2774.524400	3090.599700	2902.549300	1865.772500	2630.855200	862.109700	3324.347500	1109.357100	2023.780600	2097.045400	954.386200	1074.386300	1077.012900	919.422100	1586.840800	1258.465800	3617.607400	4022.189800	1768.364900	1843.530500	1804.214500	1006.914400	1302.194500	833.901600	2388.163900	1227.829600	2992.681300	2234.444400	2900.498100	1584.775400	2164.320200	3426.873200	1380.953500	2648.193200	3944.193200	2699.663900	3048.536000	3050.675500	2230.589500	2046.615000	3417.862100
expr::MN1	37.304200	9.309500	9.761100	1.478400	2.016800	1.912800	3.496400	14.121100	46.768300	42.393300	2.101900	4.829600	204.237200	42.374300	28.855500	1.274700	1.369800	0.336200	17.782600	44.793800	4.064500	0.604300	2.476000	4.155900	0.286000	0.433600	1.899100	52.054700	3.114700	10.028300	110.426100	49.877600	66.980000	3.756400	0.299300	2.323800	9.695400	0.673100	7.713600	0.219500	0.702000	24.401700	67.724900	3.789600	20.057500	3.898300	79.692100	0.489400	1.305400	0.731300	23.635500	12.195300	23.200000	0.771800	6.316400	15.171600	110.523400	46.979400	0.854500	2.816700	145.912100	8.581100	28.081300	110.278700	56.571000	18.327800	34.334300	0.572600	1.932500	3.628500	6.955900	1.050800	44.537500	46.724700	1.236300	0.393300	68.743400	90.833700	0.679900	1.250700	4.547000	1.138000	106.312800	33.969600	10.937800	38.336400	15.179500	1.370100	20.402500	4.994300	2.260100	0.777500	23.754400	79.474300	144.312200	13.073500	7.280300	1.169900	24.610600	12.160000	43.191100	68.724700	51.649400	1.132400	386.778300	6.748500	0.868800	106.891100	61.901200	140.060300	8.839200	2.013300	84.992100	1.684800	41.276500	6.934700	0.652500	61.084500	0.622800	1.739300	60.197100	22.660800	1.096300	0.686200	9.980500	1.450500	14.292100	25.282000	0.728700	1.472400	11.977600	20.709000	0.767400	0.588700	12.471600	0.189500	0.984000	2.548100	1.386400	23.979000	14.147700	1.340200	0.537900	16.607500	1.289700	41.671600	0.214400	38.011200	29.098100	1.969800	1.143700
expr::RUNX1T1	0.007800	132.490600	0.027000	0.020700	0.004500	0.000000	0.024700	0.007100	0.032000	0.043700	0.032100	97.293700	0.031000	0.125800	0.015300	0.014700	0.009600	0.012300	0.081800	0.084700	0.059000	0.021300	0.008700	0.000000	0.015300	0.005300	0.005400	0.301100	0.054000	0.006600	0.023500	0.022600	0.174700	0.007900	0.012100	0.034500	1.195300	74.390400	0.008500	0.061100	0.017500	0.028600	0.000000	0.008800	0.000000	0.008600	0.008600	0.009000	0.066100	0.505400	0.019900	90.789300	0.013600	0.035600	0.147000	0.008800	0.000000	0.265800	0.090100	0.024900	0.022100	102.163300	0.007100	0.000000	0.046500	0.196900	0.031500	0.016000	0.027200	0.021900	0.000000	0.000000	0.100800	0.093600	0.000000	0.106600	0.066600	0.060500	0.006100	0.035000	0.120700	0.013600	0.026200	0.023600	0.018100	0.032700	0.006700	0.008000	0.000000	0.005700	0.007400	0.006000	0.112100	0.009400	0.000000	0.025700	0.000000	0.013500	0.000000	0.013500	0.029600	0.041500	40.028500	11.419600	0.024300	0.031200	5.264200	0.022300	0.058800	0.000000	0.029000	0.067800	0.014200	119.339100	0.119000	0.017700	0.000000	0.037600	0.005900	0.079500	0.000000	0.203400	0.051500	0.006900	0.007100	0.051300	0.000000	0.025100	0.154100	0.021800	0.014900	0.052200	0.000000	0.169100	0.000000	0.015900	0.036700	0.253400	0.000000	0.054500	0.053900	0.026000	0.028700	0.008600	0.127900	0.016400	0.007900	0.082600	0.050500	0.059600	0.104500
